problem_type,budget_ratio,selected_arm_name,runs,share
classification,0.01,B0_standard_A9,39,0.975
classification,0.01,B1_bulk_single_spike,1,0.025
classification,0.05,B0_standard_A9,37,0.925
classification,0.05,B1_bulk_single_spike,3,0.075
classification,0.1,B0_standard_A9,38,0.95
classification,0.1,B1_bulk_single_spike,1,0.025
classification,0.1,B2_bulk_multi_spike,1,0.025
classification,0.2,B0_standard_A9,39,0.975
classification,0.2,B1_bulk_single_spike,1,0.025
regression,0.01,B0_standard_A9,29,0.8285714285714286
regression,0.01,B1_bulk_single_spike,6,0.17142857142857143
regression,0.05,B0_standard_A9,33,0.9428571428571428
regression,0.05,B1_bulk_single_spike,1,0.02857142857142857
regression,0.05,B2_bulk_multi_spike,1,0.02857142857142857
regression,0.1,B0_standard_A9,31,0.8857142857142857
regression,0.1,B1_bulk_single_spike,4,0.11428571428571428
regression,0.2,B0_standard_A9,33,0.9428571428571428
regression,0.2,B1_bulk_single_spike,1,0.02857142857142857
regression,0.2,B2_bulk_multi_spike,1,0.02857142857142857
