dataset,problem_type,seed,budget_ratio,selected_arm_name,bulk_train_rows,spike_train_rows,bulk_train_share,spike_train_share,bulk_routing_hard_rows,spike_routing_hard_rows,bulk_routing_hard_share,spike_routing_hard_share,bulk_routing_soft_share,spike_routing_soft_share
segment__task_359963,classification,42,0.1,B1_bulk_single_spike,83,83,0.5,0.5,128,103,0.5541125541125541,0.4458874458874459,0.5283103438581188,0.4716896561418812
segment__task_359963,classification,45,0.05,B1_bulk_single_spike,41,42,0.4939759036144578,0.5060240963855421,111,120,0.4805194805194805,0.5194805194805194,0.5038646007889723,0.49613539921102773
segment__task_359963,classification,46,0.05,B1_bulk_single_spike,41,42,0.4939759036144578,0.5060240963855421,121,110,0.5238095238095238,0.47619047619047616,0.5005901097140064,0.49940989028599364
vehicle__task_190146,classification,42,0.01,B1_bulk_single_spike,3,3,0.5,0.5,27,58,0.3176470588235294,0.6823529411764706,0.40927354261719806,0.5907264573828019
jannis__task_211979,classification,42,0.1,B2_bulk_multi_spike,4794,1235,0.7951567424116769,0.2048432575883231,8039,335,0.959995223310246,0.040004776689754,0.8109782130621365,0.18902178693786345
jannis__task_211979,classification,43,0.05,B1_bulk_single_spike,2543,471,0.8437292634372926,0.15627073656270737,8202,172,0.9794602340577979,0.020539765942202054,0.8559238838030123,0.14407611619698765
jannis__task_211979,classification,46,0.2,B1_bulk_single_spike,10754,1303,0.8919299991706063,0.10807000082939372,8180,194,0.9768330546930977,0.023166945306902317,0.8526260738938213,0.14737392610617855
diamonds__task_233211,regression,45,0.01,B1_bulk_single_spike,260,128,0.6701030927835051,0.32989690721649484,4288,1106,0.7949573600296626,0.20504263997033742,0.7130562285160268,0.28694377148397315
house_16H__task_359952,regression,42,0.1,B1_bulk_single_spike,1596,44,0.973170731707317,0.026829268292682926,2272,7,0.9969284774023695,0.00307152259763054,0.9121865142125151,0.08781348578748502
elevators__task_359936,regression,42,0.01,B1_bulk_single_spike,60,60,0.5,0.5,755,905,0.45481927710843373,0.5451807228915663,0.47573605150176984,0.5242639484982301
elevators__task_359936,regression,42,0.1,B1_bulk_single_spike,597,598,0.499581589958159,0.500418410041841,755,905,0.45481927710843373,0.5451807228915663,0.47573605150176984,0.5242639484982301
elevators__task_359936,regression,43,0.01,B1_bulk_single_spike,62,58,0.5166666666666667,0.48333333333333334,817,843,0.49216867469879516,0.5078313253012048,0.50016275732829,0.49983724267171004
elevators__task_359936,regression,45,0.01,B1_bulk_single_spike,71,49,0.5916666666666667,0.4083333333333333,1082,578,0.6518072289156627,0.3481927710843373,0.6193226977935329,0.3806773022064671
elevators__task_359936,regression,46,0.01,B1_bulk_single_spike,60,60,0.5,0.5,838,822,0.5048192771084338,0.4951807228915663,0.5074666652597826,0.49253333474021743
Brazilian_houses__task_359938,regression,42,0.1,B1_bulk_single_spike,630,140,0.8181818181818182,0.18181818181818182,1029,41,0.9616822429906542,0.038317757009345796,0.8267828917512376,0.17321710824876235
Brazilian_houses__task_359938,regression,42,0.2,B1_bulk_single_spike,1259,280,0.8180636777128005,0.18193632228719947,1029,41,0.9616822429906542,0.038317757009345796,0.8267828917512376,0.17321710824876235
OnlineNewsPopularity__task_359941,regression,42,0.05,B1_bulk_single_spike,1161,266,0.8135949544498949,0.18640504555010512,3820,145,0.9634300126103404,0.03656998738965952,0.8149604624763979,0.1850395375236022
OnlineNewsPopularity__task_359941,regression,43,0.01,B1_bulk_single_spike,235,50,0.8245614035087719,0.17543859649122806,3868,97,0.9755359394703657,0.0244640605296343,0.8461579676891315,0.1538420323108685
OnlineNewsPopularity__task_359941,regression,45,0.05,B2_bulk_multi_spike,1149,278,0.8051857042747022,0.19481429572529782,3857,108,0.9727616645649433,0.027238335435056747,0.8259265388785524,0.1740734611214477
OnlineNewsPopularity__task_359941,regression,45,0.1,B1_bulk_single_spike,2298,556,0.8051857042747022,0.19481429572529782,3841,124,0.9687263556116015,0.03127364438839849,0.8259265388785523,0.17407346112144773
OnlineNewsPopularity__task_359941,regression,45,0.2,B2_bulk_multi_spike,4840,869,0.8477842003853564,0.15221579961464354,3857,108,0.9727616645649433,0.027238335435056747,0.8259265388785524,0.1740734611214477
