status,regime,snr,seed,budget_ratio,arm,realized_topology_mode,selected_topology_arm,primary_metric,primary_value,oracle_primary_value,oracle_gap,metrics,oracle_metrics,topology,topology_selection,selected_geometry_arm,detected_spike_count,n_experts,probability_valid,fit_seconds,mean_max_routing_probability,mean_routing_entropy,exact_budget,unique_budget,row_permutation_metric_invariant,expert_order_permutation_invariant,b0_primary_value,gain_vs_b0
completed,null,1.0,11,0.1,B0_standard_A9,standard,B0_standard_A9,rmse,2.193068917652855,1.632727370055271,0.25550567202297175,"{'mse': 4.809551277575063, 'rmse': 2.193068917652855, 'r2': 0.07403608409508633, 'mae': 1.7270903357745895, 'tail_mae': 4.488487958415616}","{'mse': 2.6657986649276015, 'rmse': 1.632727370055271, 'r2': 0.48676430953138383, 'mae': 1.170238203867947, 'tail_mae': 3.6777326554809404}","{'topology_name': 'B0_standard_A9', 'mode': 'standard', 'partition_names': ['chunk_0', 'chunk_1', 'chunk_2'], 'regimes': ['standard', 'standard', 'standard'], 'partition_sizes': [6, 8, 8], 'total_budget': 22, 'n_experts': 3, 'max_experts': 5, 'exact_budget': True, 'unique_rows': 22, 'metadata': {}}",,A2_median_scaled_euclidean,0,3,True,0.0018020000000000813,0.3925080422618685,1.0851286157014546,True,True,True,True,2.193068917652855,0.0
completed,null,1.0,11,0.1,B1_bulk_single_spike,single_spike,B1_bulk_single_spike,rmse,2.7746073725271887,2.7746073725271887,0.0,"{'mse': 7.698446071682229, 'rmse': 2.7746073725271887, 'r2': -0.4821514231805424, 'mae': 2.2292607281863255, 'tail_mae': 5.102609863520706}","{'mse': 7.698446071682229, 'rmse': 2.7746073725271887, 'r2': -0.4821514231805424, 'mae': 2.2292607281863255, 'tail_mae': 5.102609863520706}","{'topology_name': 'B1_bulk_single_spike', 'mode': 'single_spike', 'partition_names': ['bulk'], 'regimes': ['bulk'], 'partition_sizes': [22], 'total_budget': 22, 'n_experts': 1, 'max_experts': 5, 'exact_budget': True, 'unique_rows': 22, 'metadata': {'policy': 'excess_energy', 'total_budget': 22, 'requested_spike_share': 0.0, 'resolved_spike_share': 0.0, 'bulk_candidate_count': 216, 'spike_candidate_count': 0, 'bulk_selected_count': 22, 'spike_selected_count': 0, 'exact_budget': True}}",,H0_signalness_gate,0,1,True,0.0004716999999998528,1.0,0.0,True,True,True,True,2.193068917652855,-0.2651710806684219
completed,null,1.0,11,0.1,B2_bulk_multi_spike,single_spike,B2_bulk_multi_spike,rmse,3.33512805155765,3.33512805155765,0.0,"{'mse': 11.123079120286725, 'rmse': 3.33512805155765, 'r2': -1.1414825011147065, 'mae': 2.794474646597163, 'tail_mae': 6.214966514853016}","{'mse': 11.123079120286725, 'rmse': 3.33512805155765, 'r2': -1.1414825011147065, 'mae': 2.794474646597163, 'tail_mae': 6.214966514853016}","{'topology_name': 'B2_bulk_multi_spike', 'mode': 'single_spike', 'partition_names': ['bulk'], 'regimes': ['bulk'], 'partition_sizes': [22], 'total_budget': 22, 'n_experts': 1, 'max_experts': 5, 'exact_budget': True, 'unique_rows': 22, 'metadata': {'policy': 'excess_energy', 'total_budget': 22, 'requested_spike_share': 0.0, 'resolved_spike_share': 0.0, 'bulk_candidate_count': 216, 'spike_candidate_count': 0, 'bulk_selected_count': 22, 'spike_selected_count': 0, 'exact_budget': True}}",,H0_signalness_gate,0,1,True,0.0004539000000001181,1.0,0.0,True,True,True,True,2.193068917652855,-0.5207584334044051
completed,null,1.0,11,0.1,B3_validation_selected,standard,B0_standard_A9,rmse,2.193068917652855,1.632727370055271,0.25550567202297175,"{'mse': 4.809551277575063, 'rmse': 2.193068917652855, 'r2': 0.07403608409508633, 'mae': 1.7270903357745895, 'tail_mae': 4.488487958415616}","{'mse': 2.6657986649276015, 'rmse': 1.632727370055271, 'r2': 0.48676430953138383, 'mae': 1.170238203867947, 'tail_mae': 3.6777326554809404}","{'topology_name': 'B0_standard_A9', 'mode': 'standard', 'partition_names': ['chunk_0', 'chunk_1', 'chunk_2'], 'regimes': ['standard', 'standard', 'standard'], 'partition_sizes': [6, 8, 8], 'total_budget': 22, 'n_experts': 3, 'max_experts': 5, 'exact_budget': True, 'unique_rows': 22, 'metadata': {}}","{'selected_arm': 'B0_standard_A9', 'fallback_arm': 'B0_standard_A9', 'status': 'fallback_to_b0', 'mean_gain': 0.0, 'median_gain': 0.0, 'confidence_interval': [0.0, 0.0], 'positive_fold_fraction': 0.0, 'reason': 'no_bulk_spike_candidate_passed_cross_fitted_gates'}",A2_median_scaled_euclidean,0,3,True,0.0018020000000000813,0.3925080422618685,1.0851286157014546,True,True,True,True,2.193068917652855,0.0
completed,one_spike,1.0,11,0.1,B0_standard_A9,standard,B0_standard_A9,rmse,2.1861114010042066,1.2888615201775402,0.41043191139047536,"{'mse': 4.779083057600576, 'rmse': 2.1861114010042066, 'r2': 0.16087938956409698, 'mae': 1.7617486995911058, 'tail_mae': 4.1630127791227105}","{'mse': 1.66116401819436, 'rmse': 1.2888615201775402, 'r2': 0.708329621356016, 'mae': 0.9368862160048675, 'tail_mae': 2.905999220985945}","{'topology_name': 'B0_standard_A9', 'mode': 'standard', 'partition_names': ['chunk_0', 'chunk_1', 'chunk_2'], 'regimes': ['standard', 'standard', 'standard'], 'partition_sizes': [7, 5, 10], 'total_budget': 22, 'n_experts': 3, 'max_experts': 5, 'exact_budget': True, 'unique_rows': 22, 'metadata': {}}",,A2_median_scaled_euclidean,1,3,True,0.0013488999999999862,0.49591612519921924,0.9838386332573532,True,True,True,True,2.1861114010042066,0.0
completed,one_spike,1.0,11,0.1,B1_bulk_single_spike,single_spike,B1_bulk_single_spike,rmse,3.089966571768518,3.089966571768518,0.0,"{'mse': 9.547893414646888, 'rmse': 3.089966571768518, 'r2': -0.6764375203175315, 'mae': 2.471260788778499, 'tail_mae': 5.97027686994574}","{'mse': 9.547893414646888, 'rmse': 3.089966571768518, 'r2': -0.6764375203175315, 'mae': 2.471260788778499, 'tail_mae': 5.97027686994574}","{'topology_name': 'B1_bulk_single_spike', 'mode': 'single_spike', 'partition_names': ['bulk'], 'regimes': ['bulk'], 'partition_sizes': [22], 'total_budget': 22, 'n_experts': 1, 'max_experts': 5, 'exact_budget': True, 'unique_rows': 22, 'metadata': {'policy': 'excess_energy', 'total_budget': 22, 'requested_spike_share': 0.0, 'resolved_spike_share': 0.0, 'bulk_candidate_count': 216, 'spike_candidate_count': 0, 'bulk_selected_count': 22, 'spike_selected_count': 0, 'exact_budget': True}}",,H0_signalness_gate,1,1,True,0.0004583999999998589,1.0,0.0,True,True,True,True,2.1861114010042066,-0.41345339050385016
completed,one_spike,1.0,11,0.1,B2_bulk_multi_spike,single_spike,B2_bulk_multi_spike,rmse,2.7629468298526727,2.7629468298526727,0.0,"{'mse': 7.6338751845929345, 'rmse': 2.7629468298526727, 'r2': -0.34037051201684543, 'mae': 2.2707034710571756, 'tail_mae': 5.17750755015598}","{'mse': 7.6338751845929345, 'rmse': 2.7629468298526727, 'r2': -0.34037051201684543, 'mae': 2.2707034710571756, 'tail_mae': 5.17750755015598}","{'topology_name': 'B2_bulk_multi_spike', 'mode': 'single_spike', 'partition_names': ['bulk'], 'regimes': ['bulk'], 'partition_sizes': [22], 'total_budget': 22, 'n_experts': 1, 'max_experts': 5, 'exact_budget': True, 'unique_rows': 22, 'metadata': {'policy': 'excess_energy', 'total_budget': 22, 'requested_spike_share': 0.0, 'resolved_spike_share': 0.0, 'bulk_candidate_count': 216, 'spike_candidate_count': 0, 'bulk_selected_count': 22, 'spike_selected_count': 0, 'exact_budget': True}}",,H0_signalness_gate,1,1,True,0.0004508000000003065,1.0,0.0,True,True,True,True,2.1861114010042066,-0.2638636935809824
completed,one_spike,1.0,11,0.1,B3_validation_selected,standard,B0_standard_A9,rmse,2.1861114010042066,1.2888615201775402,0.41043191139047536,"{'mse': 4.779083057600576, 'rmse': 2.1861114010042066, 'r2': 0.16087938956409698, 'mae': 1.7617486995911058, 'tail_mae': 4.1630127791227105}","{'mse': 1.66116401819436, 'rmse': 1.2888615201775402, 'r2': 0.708329621356016, 'mae': 0.9368862160048675, 'tail_mae': 2.905999220985945}","{'topology_name': 'B0_standard_A9', 'mode': 'standard', 'partition_names': ['chunk_0', 'chunk_1', 'chunk_2'], 'regimes': ['standard', 'standard', 'standard'], 'partition_sizes': [7, 5, 10], 'total_budget': 22, 'n_experts': 3, 'max_experts': 5, 'exact_budget': True, 'unique_rows': 22, 'metadata': {}}","{'selected_arm': 'B0_standard_A9', 'fallback_arm': 'B0_standard_A9', 'status': 'fallback_to_b0', 'mean_gain': 0.0, 'median_gain': 0.0, 'confidence_interval': [0.0, 0.0], 'positive_fold_fraction': 0.0, 'reason': 'no_bulk_spike_candidate_passed_cross_fitted_gates'}",A2_median_scaled_euclidean,1,3,True,0.0013488999999999862,0.49591612519921924,0.9838386332573532,True,True,True,True,2.1861114010042066,0.0
completed,rare_class_spike,1.0,11,0.1,B0_standard_A9,standard,B0_standard_A9,log_loss,0.6655581367274208,0.1743501600243997,0.7380391728336652,"{'accuracy': 0.6944444444444444, 'f1_macro': 0.6882066276803119, 'f1_weighted': 0.6742040285899935, 'worst_class_recall': 0.41935483870967744, 'roc_auc': nan, 'log_loss': 0.6655581367274208, 'brier_score': 0.39272798987367774, 'expected_calibration_error': 0.12143735288894256}","{'accuracy': 0.9861111111111112, 'f1_macro': 0.989407313997478, 'f1_weighted': 0.9861041053664005, 'worst_class_recall': 0.967741935483871, 'roc_auc': nan, 'log_loss': 0.1743501600243997, 'brier_score': 0.07464707550887974, 'expected_calibration_error': 0.1346555323428708}","{'topology_name': 'B0_standard_A9', 'mode': 'standard', 'partition_names': ['chunk_0', 'chunk_1', 'chunk_2'], 'regimes': ['standard', 'standard', 'standard'], 'partition_sizes': [4, 9, 9], 'total_budget': 22, 'n_experts': 3, 'max_experts': 5, 'exact_budget': True, 'unique_rows': 22, 'metadata': {}}",,A2_median_scaled_euclidean,1,3,True,0.006160399999999733,0.6255759869590651,0.8125413485673985,True,True,True,True,0.6655581367274208,0.0
completed,rare_class_spike,1.0,11,0.1,B1_bulk_single_spike,single_spike,B1_bulk_single_spike,log_loss,0.7100733684292916,0.7100733684292916,0.0,"{'accuracy': 0.7083333333333334, 'f1_macro': 0.6125433438866275, 'f1_weighted': 0.6900409568320015, 'worst_class_recall': 0.2222222222222222, 'roc_auc': nan, 'log_loss': 0.7100733684292916, 'brier_score': 0.43909360655259966, 'expected_calibration_error': 0.14854964692973302}","{'accuracy': 0.7083333333333334, 'f1_macro': 0.6125433438866275, 'f1_weighted': 0.6900409568320015, 'worst_class_recall': 0.2222222222222222, 'roc_auc': nan, 'log_loss': 0.7100733684292916, 'brier_score': 0.43909360655259966, 'expected_calibration_error': 0.14854964692973305}","{'topology_name': 'B1_bulk_single_spike', 'mode': 'single_spike', 'partition_names': ['bulk'], 'regimes': ['bulk'], 'partition_sizes': [22], 'total_budget': 22, 'n_experts': 1, 'max_experts': 5, 'exact_budget': True, 'unique_rows': 22, 'metadata': {'policy': 'excess_energy', 'total_budget': 22, 'requested_spike_share': 0.0, 'resolved_spike_share': 0.0, 'bulk_candidate_count': 216, 'spike_candidate_count': 0, 'bulk_selected_count': 22, 'spike_selected_count': 0, 'exact_budget': True}}",,H0_signalness_gate,1,1,True,0.002364599999999939,1.0,0.0,True,True,True,True,0.6655581367274208,-0.06688406203063516
