dataset,problem_type,seed,budget_ratio,model,row_arm_id,selection_method,training_reweighting,status,selected_geometry_arm,primary_metric,primary_value,rmse,mae,tail_mae,roc_auc,log_loss,n_experts,total_train_rows,ensemble_fit_seconds,sampler_fit_seconds,gram_relative_error_mean,projection_cost_error_mean,principal_angle_max_mean,effective_sample_size_mean,inclusion_probability_min_mean,inclusion_probability_max_mean
bank-marketing__task_359982,classification,11,0.05,lightgbm,R0_uniform,uniform,none,completed,A2_median_scaled_euclidean,roc_auc,0.8974912145403797,,,,0.8974912145403797,0.2971018275729506,2,1628,81.7427040040493,80.9314450994134,0.1096223877439233,4.4429164127092486e-12,2.3955895587668943e-06,814.0,0.0499917714569589,0.0501535139708172
bank-marketing__task_359982,classification,11,0.1,lightgbm,R0_uniform,uniform,none,completed,A2_median_scaled_euclidean,roc_auc,0.9058655103898742,,,,0.9058655103898742,0.250170301345246,2,3255,82.06697227433324,81.1409377977252,0.1041343332529585,8.116482680826279e-12,2.6861976031968315e-06,1627.5,0.0999379318606356,0.1001382307616405
bank-marketing__task_359982,classification,11,0.2,lightgbm,R0_uniform,uniform,none,completed,A6_cosine_negative_control,roc_auc,0.9157272864564026,,,,0.9157272864564026,0.2267511901689255,2,6510,86.42356148548424,85.3488785456866,0.0788606323523903,9.152288333600516e-13,2.3368546416870086e-06,3255.0,0.1998464860291827,0.2000150520596086
bank-marketing__task_359982,classification,29,0.05,lightgbm,R0_uniform,uniform,none,completed,A6_cosine_negative_control,roc_auc,0.881261489269738,,,,0.881261489269738,0.3238318970799228,2,1628,83.6603889502585,82.78981382027268,1.3181152207062257,8.46280012329739e-12,2.3044826193991696e-06,814.0,0.0500262536481631,0.0501580600642515
bank-marketing__task_359982,classification,29,0.1,lightgbm,R0_uniform,uniform,none,completed,A6_cosine_negative_control,roc_auc,0.9059999611797016,,,,0.9059999611797016,0.274321003957926,2,3255,83.15217558853328,82.23093497566879,0.6178185166425683,5.769709238383719e-12,2.332552979722692e-06,1627.5,0.0999219725961903,0.10017524767407
bank-marketing__task_359982,classification,29,0.2,lightgbm,R0_uniform,uniform,none,completed,A6_cosine_negative_control,roc_auc,0.9194814933695404,,,,0.9194814933695404,0.2287954626899882,2,6510,83.44273370504379,82.47971420921385,0.0800089949007538,7.190038016631595e-12,1.7075472925031875e-06,3255.0,0.199866844207723,0.20002895193978
bank-marketing__task_359982,classification,47,0.05,lightgbm,R0_uniform,uniform,none,completed,A5_gmm_posterior,roc_auc,0.8824682324502661,,,,0.8824682324502661,0.3194424480024418,2,1628,63.51034357398749,62.67480294406414,0.0881576840900532,2.730130200351481e-13,1.6939376219437605e-06,814.0,0.0498910788626837,0.0500443493686736
bank-marketing__task_359982,classification,47,0.1,lightgbm,R0_uniform,uniform,none,completed,A2_median_scaled_euclidean,roc_auc,0.9067687924567428,,,,0.9067687924567428,0.2548545565139542,2,3255,65.51636673882604,64.61664511449635,0.0443426339087015,2.4105143298073325e-13,1.593163312987143e-06,1627.5,0.0998578946858546,0.1001044116720893
bank-marketing__task_359982,classification,47,0.2,lightgbm,R0_uniform,uniform,none,completed,A6_cosine_negative_control,roc_auc,0.9160605729213268,,,,0.9160605729213268,0.2327488104953629,2,6510,63.98232086189091,63.00814010761678,0.0556178749855047,1.104377741777799e-12,1.733145506824142e-06,3255.0,0.1999347502319924,0.2003480278422273
covertype__task_7593,classification,11,0.05,lightgbm,R0_uniform,uniform,none,completed,A2_median_scaled_euclidean,log_loss,0.7461799555558148,,,,,0.7461799555558148,3,2000,60.87524207495153,56.0014607720077,0.0209355921268734,7.488969201710657e-13,2.043803353792584e-06,666.6666666666666,0.0495988677966596,0.0796186895810956
covertype__task_7593,classification,11,0.1,lightgbm,R0_uniform,uniform,none,completed,A2_median_scaled_euclidean,log_loss,0.6862611898409507,,,,,0.6862611898409507,3,4000,61.950568947941065,55.81821353547275,0.0120196366218703,1.107898668745165e-12,1.608020490881781e-06,1333.3333333333333,0.0992953533867754,0.1125795856099876
