dataset,problem_type,budget_ratio,row_arm_id,selection_method,training_reweighting,runs,primary_value_mean,primary_gain_mean,primary_gain_median,tail_gain_mean,gram_error_mean,projection_cost_error_mean,effective_sample_size_mean,fit_time_seconds_mean,fit_time_ratio_mean
OnlineNewsPopularity__task_359941,regression,0.05,R0_uniform,uniform,none,3,15757.83279672753,0.0,0.0,0.0,0.30292867141754676,2.6523057786898455e-12,951.3333333333334,67.06990265597899,1.0
OnlineNewsPopularity__task_359941,regression,0.05,R1_capped_incumbent,capped_leverage,none,3,15809.158945140218,-0.0032418042810795056,-5.243576677205097e-05,-0.017826864161404155,0.7522633650140516,9.735482730010903e-12,951.3333333333334,68.41190007391076,1.0236258113038665
OnlineNewsPopularity__task_359941,regression,0.05,R2_robust_mixture,robust_leverage_mixture,none,3,15691.201754787113,0.0042131826420328845,0.0055397688055946965,0.04267934899260372,0.110507772080595,1.3435578039757809e-11,951.3333333333334,67.16187670330207,0.9995915561408214
OnlineNewsPopularity__task_359941,regression,0.05,R3_robust_mixture_ipw,robust_leverage_mixture,inverse_probability,3,15695.967700226132,0.003901914037057319,0.008525231317114449,0.028785032507016164,0.110507772080595,1.3435578039757809e-11,805.700095841919,67.44901652013262,1.0047466322890994
OnlineNewsPopularity__task_359941,regression,0.05,R4_ridge_leverage_ipw,saturated_ridge_leverage,inverse_probability,3,15616.382810198915,0.008956618994607236,0.010121900212612795,0.06380157895206422,0.11601251953516523,3.11919853241553e-12,711.7449802573574,69.98061321489513,1.04210372196747
OnlineNewsPopularity__task_359941,regression,0.1,R0_uniform,uniform,none,3,15645.961072947182,0.0,0.0,0.0,0.7793496262387408,6.116986179383359e-12,1902.6666666666667,67.81760976773997,1.0
OnlineNewsPopularity__task_359941,regression,0.1,R1_capped_incumbent,capped_leverage,none,3,15718.202031402014,-0.004607924741535271,-0.0050608747038609165,-0.016293988543620703,0.5936266409369028,7.056978726339428e-12,1902.6666666666667,71.70322770314912,1.0672099812834064
OnlineNewsPopularity__task_359941,regression,0.1,R2_robust_mixture,robust_leverage_mixture,none,3,15807.16511117565,-0.01030077865275701,-0.014455645058063656,-0.07954703502735319,0.06621272276636624,1.1701726459638052e-11,1902.6666666666667,73.50126661174,1.0938839664551618
OnlineNewsPopularity__task_359941,regression,0.1,R3_robust_mixture_ipw,robust_leverage_mixture,inverse_probability,3,15867.643429011814,-0.01415138737379948,-0.013084770141055286,-0.10033911214342663,0.06621272276636624,1.1701726459638052e-11,1628.7260206061794,66.34105619415641,0.9797922337473564
OnlineNewsPopularity__task_359941,regression,0.1,R4_ridge_leverage_ipw,saturated_ridge_leverage,inverse_probability,3,15709.07520501283,-0.004063697856544301,-0.011107742788251185,-0.07403620154003004,0.06919326894775617,3.073297340125908e-12,1455.1778105278809,68.33549743083616,1.0030520974334316
