dataset,task_id,task_name,suite_id,problem_type,seed,budget_ratio,model,n_train,n_validation,n_test,arm_name,fold_id,primary_metric,primary_value,primary_direction,robust_metric,robust_value,robust_direction,tail_metric,tail_value,tail_direction,tail_quantile,evaluation_rows,selected_temperature
diamonds__task_233211,233211,diamonds,269,regression,11,0.1,lightgbm,8000,2000,5394,A2_median_scaled_euclidean,0,rmse,1002.5540724076413,lower,mae,587.7181862588404,lower,tail_mean_absolute_error,2643.65780047223,lower,0.9,400,0.1
diamonds__task_233211,233211,diamonds,269,regression,11,0.1,lightgbm,8000,2000,5394,A5_gmm_posterior,0,rmse,1002.5790167912938,lower,mae,584.627757074072,lower,tail_mean_absolute_error,2646.632292806372,lower,0.9,400,0.25
diamonds__task_233211,233211,diamonds,269,regression,11,0.1,lightgbm,8000,2000,5394,A6_cosine_negative_control,0,rmse,1001.4636826245016,lower,mae,586.5779101973744,lower,tail_mean_absolute_error,2641.8216918077824,lower,0.9,400,0.1
diamonds__task_233211,233211,diamonds,269,regression,11,0.1,lightgbm,8000,2000,5394,A2_median_scaled_euclidean,1,rmse,958.7526751797693,lower,mae,582.7753376067644,lower,tail_mean_absolute_error,2532.8002212873657,lower,0.9,400,0.1
diamonds__task_233211,233211,diamonds,269,regression,11,0.1,lightgbm,8000,2000,5394,A5_gmm_posterior,1,rmse,954.7319123867208,lower,mae,571.0374390769696,lower,tail_mean_absolute_error,2532.3044989495347,lower,0.9,400,0.5
diamonds__task_233211,233211,diamonds,269,regression,11,0.1,lightgbm,8000,2000,5394,A6_cosine_negative_control,1,rmse,959.152482052581,lower,mae,584.8004381470288,lower,tail_mean_absolute_error,2532.7257258100726,lower,0.9,400,0.1
diamonds__task_233211,233211,diamonds,269,regression,11,0.1,lightgbm,8000,2000,5394,A2_median_scaled_euclidean,2,rmse,1079.9657972782265,lower,mae,602.7787105844372,lower,tail_mean_absolute_error,2785.97572909085,lower,0.9,400,0.1
diamonds__task_233211,233211,diamonds,269,regression,11,0.1,lightgbm,8000,2000,5394,A5_gmm_posterior,2,rmse,1097.959640436669,lower,mae,618.6694752851412,lower,tail_mean_absolute_error,2823.3720354207,lower,0.9,400,1.0
diamonds__task_233211,233211,diamonds,269,regression,11,0.1,lightgbm,8000,2000,5394,A6_cosine_negative_control,2,rmse,1080.1322374539984,lower,mae,603.0954816962012,lower,tail_mean_absolute_error,2785.959189811775,lower,0.9,400,0.05
diamonds__task_233211,233211,diamonds,269,regression,11,0.1,lightgbm,8000,2000,5394,A2_median_scaled_euclidean,3,rmse,985.9316543415662,lower,mae,591.3034441259349,lower,tail_mean_absolute_error,2551.265905884133,lower,0.9,400,0.1
diamonds__task_233211,233211,diamonds,269,regression,11,0.1,lightgbm,8000,2000,5394,A5_gmm_posterior,3,rmse,988.1750874853965,lower,mae,592.8498219782524,lower,tail_mean_absolute_error,2562.410283962225,lower,0.9,400,0.5
diamonds__task_233211,233211,diamonds,269,regression,11,0.1,lightgbm,8000,2000,5394,A6_cosine_negative_control,3,rmse,986.4664210453786,lower,mae,595.8582511144399,lower,tail_mean_absolute_error,2550.947666923291,lower,0.9,400,0.1
diamonds__task_233211,233211,diamonds,269,regression,11,0.1,lightgbm,8000,2000,5394,A2_median_scaled_euclidean,4,rmse,1098.9686352398974,lower,mae,606.6525860312819,lower,tail_mean_absolute_error,2844.1051964178782,lower,0.9,400,0.1
diamonds__task_233211,233211,diamonds,269,regression,11,0.1,lightgbm,8000,2000,5394,A5_gmm_posterior,4,rmse,1115.9598239039183,lower,mae,610.9095123312826,lower,tail_mean_absolute_error,2903.229135654976,lower,0.9,400,0.25
diamonds__task_233211,233211,diamonds,269,regression,11,0.1,lightgbm,8000,2000,5394,A6_cosine_negative_control,4,rmse,1097.7946153826476,lower,mae,606.8673367771809,lower,tail_mean_absolute_error,2840.43465695632,lower,0.9,400,0.1
