dataset,task_id,task_name,suite_id,problem_type,seed,budget_ratio,model,n_train,n_validation,n_test,arm_name,fold_id,primary_metric,primary_value,primary_direction,robust_metric,robust_value,robust_direction,tail_metric,tail_value,tail_direction,tail_quantile,evaluation_rows,selected_temperature
diamonds__task_233211,233211,diamonds,269,regression,11,0.1,lightgbm,8000,2000,5394,A2_median_scaled_euclidean,0,rmse,827.2430089952998,lower,mae,480.33736195547243,lower,tail_mean_absolute_error,2122.661180449724,lower,0.9,400,0.05
diamonds__task_233211,233211,diamonds,269,regression,11,0.1,lightgbm,8000,2000,5394,A5_gmm_posterior,0,rmse,837.0907248307327,lower,mae,488.4368816412661,lower,tail_mean_absolute_error,2149.4606788325505,lower,0.9,400,0.5
diamonds__task_233211,233211,diamonds,269,regression,11,0.1,lightgbm,8000,2000,5394,A6_cosine_negative_control,0,rmse,825.6011561462799,lower,mae,477.1218259871022,lower,tail_mean_absolute_error,2122.140189314133,lower,0.9,400,0.05
diamonds__task_233211,233211,diamonds,269,regression,11,0.1,lightgbm,8000,2000,5394,A2_median_scaled_euclidean,1,rmse,853.5855554468651,lower,mae,507.3589245955259,lower,tail_mean_absolute_error,2192.3975205635434,lower,0.9,400,0.1
diamonds__task_233211,233211,diamonds,269,regression,11,0.1,lightgbm,8000,2000,5394,A5_gmm_posterior,1,rmse,859.0801463985828,lower,mae,510.11230718889186,lower,tail_mean_absolute_error,2207.4711417441567,lower,0.9,400,0.5
diamonds__task_233211,233211,diamonds,269,regression,11,0.1,lightgbm,8000,2000,5394,A6_cosine_negative_control,1,rmse,853.8372852885518,lower,mae,508.8292031568038,lower,tail_mean_absolute_error,2192.400622568531,lower,0.9,400,0.1
diamonds__task_233211,233211,diamonds,269,regression,11,0.1,lightgbm,8000,2000,5394,A2_median_scaled_euclidean,2,rmse,1003.7443017876259,lower,mae,546.8878875605118,lower,tail_mean_absolute_error,2593.52371942688,lower,0.9,400,0.1
diamonds__task_233211,233211,diamonds,269,regression,11,0.1,lightgbm,8000,2000,5394,A5_gmm_posterior,2,rmse,1009.3292235634735,lower,mae,553.3881698336877,lower,tail_mean_absolute_error,2606.064939883535,lower,0.9,400,0.5
diamonds__task_233211,233211,diamonds,269,regression,11,0.1,lightgbm,8000,2000,5394,A6_cosine_negative_control,2,rmse,1003.7709639220075,lower,mae,546.3948689664855,lower,tail_mean_absolute_error,2593.583369476114,lower,0.9,400,0.05
diamonds__task_233211,233211,diamonds,269,regression,11,0.1,lightgbm,8000,2000,5394,A2_median_scaled_euclidean,3,rmse,873.2010613447113,lower,mae,513.8270554207613,lower,tail_mean_absolute_error,2290.8952550583963,lower,0.9,400,0.1
diamonds__task_233211,233211,diamonds,269,regression,11,0.1,lightgbm,8000,2000,5394,A5_gmm_posterior,3,rmse,880.5821188818809,lower,mae,520.0183527740824,lower,tail_mean_absolute_error,2298.3229155789713,lower,0.9,400,0.5
diamonds__task_233211,233211,diamonds,269,regression,11,0.1,lightgbm,8000,2000,5394,A6_cosine_negative_control,3,rmse,872.8035941516364,lower,mae,516.4239736749998,lower,tail_mean_absolute_error,2290.914612571412,lower,0.9,400,0.1
diamonds__task_233211,233211,diamonds,269,regression,11,0.1,lightgbm,8000,2000,5394,A2_median_scaled_euclidean,4,rmse,1039.2043148840175,lower,mae,579.3507512550434,lower,tail_mean_absolute_error,2568.5322780685055,lower,0.9,400,0.1
diamonds__task_233211,233211,diamonds,269,regression,11,0.1,lightgbm,8000,2000,5394,A5_gmm_posterior,4,rmse,1061.9114572495594,lower,mae,591.4447043554857,lower,tail_mean_absolute_error,2637.467331724543,lower,0.9,400,0.5
diamonds__task_233211,233211,diamonds,269,regression,11,0.1,lightgbm,8000,2000,5394,A6_cosine_negative_control,4,rmse,1038.3920434080082,lower,mae,579.8218332703437,lower,tail_mean_absolute_error,2568.048868371926,lower,0.9,400,0.1
