dataset,task_id,task_name,suite_id,problem_type,seed,budget_ratio,model,n_train,n_validation,n_test,arm_name,fold_id,primary_metric,primary_value,primary_direction,robust_metric,robust_value,robust_direction,tail_metric,tail_value,tail_direction,tail_quantile,evaluation_rows,selected_temperature
diamonds__task_233211,233211,diamonds,269,regression,11,0.1,lightgbm,8000,2000,5394,A2_median_scaled_euclidean,0,rmse,939.8035719398664,lower,mae,527.1790330460109,lower,tail_mean_absolute_error,2398.162150275819,lower,0.9,400,0.1
diamonds__task_233211,233211,diamonds,269,regression,11,0.1,lightgbm,8000,2000,5394,A5_gmm_posterior,0,rmse,949.4144678128346,lower,mae,535.3888897763054,lower,tail_mean_absolute_error,2433.3654822226536,lower,0.9,400,0.25
diamonds__task_233211,233211,diamonds,269,regression,11,0.1,lightgbm,8000,2000,5394,A6_cosine_negative_control,0,rmse,937.0530442601314,lower,mae,523.463850689409,lower,tail_mean_absolute_error,2391.6234002560786,lower,0.9,400,0.1
diamonds__task_233211,233211,diamonds,269,regression,11,0.1,lightgbm,8000,2000,5394,A2_median_scaled_euclidean,1,rmse,947.9409910980135,lower,mae,539.5910536706513,lower,tail_mean_absolute_error,2528.4319275087864,lower,0.9,400,0.1
diamonds__task_233211,233211,diamonds,269,regression,11,0.1,lightgbm,8000,2000,5394,A5_gmm_posterior,1,rmse,953.9613106023181,lower,mae,545.1845530872562,lower,tail_mean_absolute_error,2539.065522697747,lower,0.9,400,0.25
diamonds__task_233211,233211,diamonds,269,regression,11,0.1,lightgbm,8000,2000,5394,A6_cosine_negative_control,1,rmse,947.8476459670934,lower,mae,539.9819373897025,lower,tail_mean_absolute_error,2526.7712369424316,lower,0.9,400,0.1
diamonds__task_233211,233211,diamonds,269,regression,11,0.1,lightgbm,8000,2000,5394,A2_median_scaled_euclidean,2,rmse,1110.3070956641511,lower,mae,605.2699910514552,lower,tail_mean_absolute_error,2929.9637892108553,lower,0.9,400,0.1
diamonds__task_233211,233211,diamonds,269,regression,11,0.1,lightgbm,8000,2000,5394,A5_gmm_posterior,2,rmse,1118.2947113115777,lower,mae,613.6244112310501,lower,tail_mean_absolute_error,2941.0789622326542,lower,0.9,400,0.5
diamonds__task_233211,233211,diamonds,269,regression,11,0.1,lightgbm,8000,2000,5394,A6_cosine_negative_control,2,rmse,1109.8073669643845,lower,mae,604.2679445796825,lower,tail_mean_absolute_error,2930.1040690364616,lower,0.9,400,0.1
diamonds__task_233211,233211,diamonds,269,regression,11,0.1,lightgbm,8000,2000,5394,A2_median_scaled_euclidean,3,rmse,895.3889236903295,lower,mae,517.059316924572,lower,tail_mean_absolute_error,2357.9767840292575,lower,0.9,400,0.1
diamonds__task_233211,233211,diamonds,269,regression,11,0.1,lightgbm,8000,2000,5394,A5_gmm_posterior,3,rmse,904.8568070191352,lower,mae,525.7391559346438,lower,tail_mean_absolute_error,2380.583079586052,lower,0.9,400,0.25
diamonds__task_233211,233211,diamonds,269,regression,11,0.1,lightgbm,8000,2000,5394,A6_cosine_negative_control,3,rmse,895.3277137860703,lower,mae,518.3056355794558,lower,tail_mean_absolute_error,2358.415280564664,lower,0.9,400,0.1
diamonds__task_233211,233211,diamonds,269,regression,11,0.1,lightgbm,8000,2000,5394,A2_median_scaled_euclidean,4,rmse,1115.8328637425416,lower,mae,578.9253206148628,lower,tail_mean_absolute_error,2778.6078417170456,lower,0.9,400,0.1
diamonds__task_233211,233211,diamonds,269,regression,11,0.1,lightgbm,8000,2000,5394,A5_gmm_posterior,4,rmse,1140.6021741551278,lower,mae,594.6128779827901,lower,tail_mean_absolute_error,2857.195757712453,lower,0.9,400,0.1
diamonds__task_233211,233211,diamonds,269,regression,11,0.1,lightgbm,8000,2000,5394,A6_cosine_negative_control,4,rmse,1115.1423292596726,lower,mae,578.9839418823283,lower,tail_mean_absolute_error,2779.6269181338002,lower,0.9,400,0.1
