dataset,task_id,task_name,suite_id,problem_type,seed,budget_ratio,model,n_train,n_validation,n_test,arm_name,fold_id,primary_metric,primary_value,primary_direction,robust_metric,robust_value,robust_direction,tail_metric,tail_value,tail_direction,tail_quantile,evaluation_rows,selected_temperature
diamonds__task_233211,233211,diamonds,269,regression,11,0.1,lightgbm,8000,2000,5394,A2_median_scaled_euclidean,0,rmse,1004.6617463580088,lower,mae,559.6597129063111,lower,tail_mean_absolute_error,2599.682746518184,lower,0.9,400,0.05
diamonds__task_233211,233211,diamonds,269,regression,11,0.1,lightgbm,8000,2000,5394,A5_gmm_posterior,0,rmse,1010.5557814831459,lower,mae,562.3848153439972,lower,tail_mean_absolute_error,2630.450107643571,lower,0.9,400,0.25
diamonds__task_233211,233211,diamonds,269,regression,11,0.1,lightgbm,8000,2000,5394,A6_cosine_negative_control,0,rmse,1002.5586256444241,lower,mae,556.413575267748,lower,tail_mean_absolute_error,2593.116429529449,lower,0.9,400,0.05
diamonds__task_233211,233211,diamonds,269,regression,11,0.1,lightgbm,8000,2000,5394,A2_median_scaled_euclidean,1,rmse,1000.250784550386,lower,mae,549.8684521550582,lower,tail_mean_absolute_error,2611.3939937139958,lower,0.9,400,0.1
diamonds__task_233211,233211,diamonds,269,regression,11,0.1,lightgbm,8000,2000,5394,A5_gmm_posterior,1,rmse,1002.9084698514356,lower,mae,549.6656691467472,lower,tail_mean_absolute_error,2618.194006208432,lower,0.9,400,0.25
diamonds__task_233211,233211,diamonds,269,regression,11,0.1,lightgbm,8000,2000,5394,A6_cosine_negative_control,1,rmse,1000.3882236724751,lower,mae,549.7608446597194,lower,tail_mean_absolute_error,2611.3940400587658,lower,0.9,400,0.05
diamonds__task_233211,233211,diamonds,269,regression,11,0.1,lightgbm,8000,2000,5394,A2_median_scaled_euclidean,2,rmse,1208.472844540117,lower,mae,634.0274697688915,lower,tail_mean_absolute_error,3181.9179303249357,lower,0.9,400,0.05
diamonds__task_233211,233211,diamonds,269,regression,11,0.1,lightgbm,8000,2000,5394,A5_gmm_posterior,2,rmse,1215.1522647517388,lower,mae,640.5101556310002,lower,tail_mean_absolute_error,3192.803186524902,lower,0.9,400,0.5
diamonds__task_233211,233211,diamonds,269,regression,11,0.1,lightgbm,8000,2000,5394,A6_cosine_negative_control,2,rmse,1208.511287149442,lower,mae,634.2202442287632,lower,tail_mean_absolute_error,3181.909725179927,lower,0.9,400,0.05
diamonds__task_233211,233211,diamonds,269,regression,11,0.1,lightgbm,8000,2000,5394,A2_median_scaled_euclidean,3,rmse,960.7686193729223,lower,mae,537.1325087075162,lower,tail_mean_absolute_error,2492.364988333053,lower,0.9,400,0.1
diamonds__task_233211,233211,diamonds,269,regression,11,0.1,lightgbm,8000,2000,5394,A5_gmm_posterior,3,rmse,967.5554638351587,lower,mae,541.4420863181391,lower,tail_mean_absolute_error,2511.122689054662,lower,0.9,400,0.25
diamonds__task_233211,233211,diamonds,269,regression,11,0.1,lightgbm,8000,2000,5394,A6_cosine_negative_control,3,rmse,960.7801248923219,lower,mae,537.2502472028818,lower,tail_mean_absolute_error,2492.364085072814,lower,0.9,400,0.05
diamonds__task_233211,233211,diamonds,269,regression,11,0.1,lightgbm,8000,2000,5394,A2_median_scaled_euclidean,4,rmse,1200.1477553313744,lower,mae,608.2282114875811,lower,tail_mean_absolute_error,3001.2705683945087,lower,0.9,400,0.1
diamonds__task_233211,233211,diamonds,269,regression,11,0.1,lightgbm,8000,2000,5394,A5_gmm_posterior,4,rmse,1215.7579750505931,lower,mae,611.3816156719699,lower,tail_mean_absolute_error,3064.866812785361,lower,0.9,400,0.1
diamonds__task_233211,233211,diamonds,269,regression,11,0.1,lightgbm,8000,2000,5394,A6_cosine_negative_control,4,rmse,1199.3219591301533,lower,mae,606.3387323890507,lower,tail_mean_absolute_error,2998.955053134252,lower,0.9,400,0.05
