dataset,task_id,task_name,suite_id,problem_type,seed,budget_ratio,model,n_train,n_validation,n_test,arm_name,fold_id,primary_metric,primary_value,primary_direction,robust_metric,robust_value,robust_direction,tail_metric,tail_value,tail_direction,tail_quantile,evaluation_rows,selected_temperature
diamonds__task_233211,233211,diamonds,269,regression,11,0.1,lightgbm,8000,2000,5394,A2_median_scaled_euclidean,0,rmse,1027.8090060415602,lower,mae,556.471430934998,lower,tail_mean_absolute_error,2667.3792229024743,lower,0.9,400,0.1
diamonds__task_233211,233211,diamonds,269,regression,11,0.1,lightgbm,8000,2000,5394,A5_gmm_posterior,0,rmse,1035.693414181445,lower,mae,562.8468938152942,lower,tail_mean_absolute_error,2681.997474993806,lower,0.9,400,0.1
diamonds__task_233211,233211,diamonds,269,regression,11,0.1,lightgbm,8000,2000,5394,A6_cosine_negative_control,0,rmse,1026.892988175004,lower,mae,555.7234693712479,lower,tail_mean_absolute_error,2667.3815465230027,lower,0.9,400,0.05
diamonds__task_233211,233211,diamonds,269,regression,11,0.1,lightgbm,8000,2000,5394,A2_median_scaled_euclidean,1,rmse,977.1945883826578,lower,mae,556.2447843378254,lower,tail_mean_absolute_error,2547.740948632759,lower,0.9,400,0.1
diamonds__task_233211,233211,diamonds,269,regression,11,0.1,lightgbm,8000,2000,5394,A5_gmm_posterior,1,rmse,976.0333261861019,lower,mae,552.7122632189246,lower,tail_mean_absolute_error,2547.740904495313,lower,0.9,400,0.1
diamonds__task_233211,233211,diamonds,269,regression,11,0.1,lightgbm,8000,2000,5394,A6_cosine_negative_control,1,rmse,977.412216745276,lower,mae,556.7244746429063,lower,tail_mean_absolute_error,2547.740985017799,lower,0.9,400,0.05
diamonds__task_233211,233211,diamonds,269,regression,11,0.1,lightgbm,8000,2000,5394,A2_median_scaled_euclidean,2,rmse,1191.2622756408318,lower,mae,657.9141795026572,lower,tail_mean_absolute_error,3197.9821038437085,lower,0.9,400,0.1
diamonds__task_233211,233211,diamonds,269,regression,11,0.1,lightgbm,8000,2000,5394,A5_gmm_posterior,2,rmse,1195.8717807528174,lower,mae,660.3715736123416,lower,tail_mean_absolute_error,3206.943810873003,lower,0.9,400,0.5
diamonds__task_233211,233211,diamonds,269,regression,11,0.1,lightgbm,8000,2000,5394,A6_cosine_negative_control,2,rmse,1191.5038411833825,lower,mae,658.4036737345441,lower,tail_mean_absolute_error,3197.9738264822367,lower,0.9,400,0.05
diamonds__task_233211,233211,diamonds,269,regression,11,0.1,lightgbm,8000,2000,5394,A2_median_scaled_euclidean,3,rmse,954.3736196259478,lower,mae,549.9927440137276,lower,tail_mean_absolute_error,2462.3311587271505,lower,0.9,400,0.1
diamonds__task_233211,233211,diamonds,269,regression,11,0.1,lightgbm,8000,2000,5394,A5_gmm_posterior,3,rmse,959.1771352009308,lower,mae,552.4268653460659,lower,tail_mean_absolute_error,2476.1035668001896,lower,0.9,400,0.25
diamonds__task_233211,233211,diamonds,269,regression,11,0.1,lightgbm,8000,2000,5394,A6_cosine_negative_control,3,rmse,954.3599075949263,lower,mae,549.9449814087684,lower,tail_mean_absolute_error,2462.3286438371315,lower,0.9,400,0.05
diamonds__task_233211,233211,diamonds,269,regression,11,0.1,lightgbm,8000,2000,5394,A2_median_scaled_euclidean,4,rmse,1165.928586618199,lower,mae,595.6801919200357,lower,tail_mean_absolute_error,2902.467337122782,lower,0.9,400,0.1
diamonds__task_233211,233211,diamonds,269,regression,11,0.1,lightgbm,8000,2000,5394,A5_gmm_posterior,4,rmse,1179.2741333514584,lower,mae,601.9894049035979,lower,tail_mean_absolute_error,2944.153919803576,lower,0.9,400,0.1
diamonds__task_233211,233211,diamonds,269,regression,11,0.1,lightgbm,8000,2000,5394,A6_cosine_negative_control,4,rmse,1165.5607917320203,lower,mae,594.9084576090806,lower,tail_mean_absolute_error,2902.8393949328224,lower,0.9,400,0.05
