dataset,task_id,task_name,suite_id,problem_type,seed,budget_ratio,model,n_train,n_validation,n_test,arm_name,fold_id,primary_metric,primary_value,primary_direction,robust_metric,robust_value,robust_direction,tail_metric,tail_value,tail_direction,tail_quantile,evaluation_rows,selected_temperature,guard_metrics
adult__task_359983,359983,adult,271,classification,42,0.1,lightgbm,8000,2000,4885,A2_median_scaled_euclidean,0,roc_auc,0.8506643658326143,higher,,,,,,,,400,0.25,"[{'metric': 'brier_score', 'value': 0.12785756941080068, 'direction': 'lower'}, {'metric': 'expected_calibration_error', 'value': 0.08596068115256479, 'direction': 'lower'}, {'metric': 'f1_macro', 'value': 0.726600033679706, 'direction': 'higher'}, {'metric': 'worst_class_recall', 'value': 0.4631578947368421, 'direction': 'higher'}]"
adult__task_359983,359983,adult,271,classification,42,0.1,lightgbm,8000,2000,4885,A5_gmm_posterior,0,roc_auc,0.8565660051768766,higher,,,,,,,,400,2.0,"[{'metric': 'brier_score', 'value': 0.12900243558491845, 'direction': 'lower'}, {'metric': 'expected_calibration_error', 'value': 0.08364067316341048, 'direction': 'lower'}, {'metric': 'f1_macro', 'value': 0.731850625024646, 'direction': 'higher'}, {'metric': 'worst_class_recall', 'value': 0.47368421052631576, 'direction': 'higher'}]"
adult__task_359983,359983,adult,271,classification,42,0.1,lightgbm,8000,2000,4885,A6_cosine_negative_control,0,roc_auc,0.8488352027610009,higher,,,,,,,,400,0.1,"[{'metric': 'brier_score', 'value': 0.1285921933815589, 'direction': 'lower'}, {'metric': 'expected_calibration_error', 'value': 0.08512494988571079, 'direction': 'lower'}, {'metric': 'f1_macro', 'value': 0.734524670384642, 'direction': 'higher'}, {'metric': 'worst_class_recall', 'value': 0.47368421052631576, 'direction': 'higher'}]"
adult__task_359983,359983,adult,271,classification,42,0.1,lightgbm,8000,2000,4885,A2_median_scaled_euclidean,1,roc_auc,0.851014254385965,higher,,,,,,,,400,0.25,"[{'metric': 'brier_score', 'value': 0.1428792467389577, 'direction': 'lower'}, {'metric': 'expected_calibration_error', 'value': 0.10643624997130015, 'direction': 'lower'}, {'metric': 'f1_macro', 'value': 0.7061482820976492, 'direction': 'higher'}, {'metric': 'worst_class_recall', 'value': 0.46875, 'direction': 'higher'}]"
adult__task_359983,359983,adult,271,classification,42,0.1,lightgbm,8000,2000,4885,A5_gmm_posterior,1,roc_auc,0.8505345394736842,higher,,,,,,,,400,2.0,"[{'metric': 'brier_score', 'value': 0.14135117308928827, 'direction': 'lower'}, {'metric': 'expected_calibration_error', 'value': 0.10402517258962884, 'direction': 'lower'}, {'metric': 'f1_macro', 'value': 0.7110689485799039, 'direction': 'higher'}, {'metric': 'worst_class_recall', 'value': 0.4583333333333333, 'direction': 'higher'}]"
adult__task_359983,359983,adult,271,classification,42,0.1,lightgbm,8000,2000,4885,A6_cosine_negative_control,1,roc_auc,0.8511513157894737,higher,,,,,,,,400,0.1,"[{'metric': 'brier_score', 'value': 0.14365554529386335, 'direction': 'lower'}, {'metric': 'expected_calibration_error', 'value': 0.10967368412136577, 'direction': 'lower'}, {'metric': 'f1_macro', 'value': 0.6986136226642556, 'direction': 'higher'}, {'metric': 'worst_class_recall', 'value': 0.4583333333333333, 'direction': 'higher'}]"
adult__task_359983,359983,adult,271,classification,42,0.1,lightgbm,8000,2000,4885,A2_median_scaled_euclidean,2,roc_auc,0.8456688596491228,higher,,,,,,,,400,0.25,"[{'metric': 'brier_score', 'value': 0.14103196443616484, 'direction': 'lower'}, {'metric': 'expected_calibration_error', 'value': 0.09510263093180396, 'direction': 'lower'}, {'metric': 'f1_macro', 'value': 0.7035460453802591, 'direction': 'higher'}, {'metric': 'worst_class_recall', 'value': 0.4583333333333333, 'direction': 'higher'}]"
adult__task_359983,359983,adult,271,classification,42,0.1,lightgbm,8000,2000,4885,A5_gmm_posterior,2,roc_auc,0.8583470394736843,higher,,,,,,,,400,2.0,"[{'metric': 'brier_score', 'value': 0.13911987897300523, 'direction': 'lower'}, {'metric': 'expected_calibration_error', 'value': 0.09545209396213954, 'direction': 'lower'}, {'metric': 'f1_macro', 'value': 0.7085442552538732, 'direction': 'higher'}, {'metric': 'worst_class_recall', 'value': 0.4583333333333333, 'direction': 'higher'}]"
adult__task_359983,359983,adult,271,classification,42,0.1,lightgbm,8000,2000,4885,A6_cosine_negative_control,2,roc_auc,0.8449492872807017,higher,,,,,,,,400,0.1,"[{'metric': 'brier_score', 'value': 0.14150343079362593, 'direction': 'lower'}, {'metric': 'expected_calibration_error', 'value': 0.0965624490879265, 'direction': 'lower'}, {'metric': 'f1_macro', 'value': 0.7035460453802591, 'direction': 'higher'}, {'metric': 'worst_class_recall', 'value': 0.4583333333333333, 'direction': 'higher'}]"
adult__task_359983,359983,adult,271,classification,42,0.1,lightgbm,8000,2000,4885,A2_median_scaled_euclidean,3,roc_auc,0.8696888706140351,higher,,,,,,,,400,0.25,"[{'metric': 'brier_score', 'value': 0.11984494103154829, 'direction': 'lower'}, {'metric': 'expected_calibration_error', 'value': 0.06929479259958819, 'direction': 'lower'}, {'metric': 'f1_macro', 'value': 0.7503739437945142, 'direction': 'higher'}, {'metric': 'worst_class_recall', 'value': 0.4895833333333333, 'direction': 'higher'}]"
adult__task_359983,359983,adult,271,classification,42,0.1,lightgbm,8000,2000,4885,A5_gmm_posterior,3,roc_auc,0.8711965460526316,higher,,,,,,,,400,5.0,"[{'metric': 'brier_score', 'value': 0.12105805817709824, 'direction': 'lower'}, {'metric': 'expected_calibration_error', 'value': 0.06897351316061395, 'direction': 'lower'}, {'metric': 'f1_macro', 'value': 0.7428545189236625, 'direction': 'higher'}, {'metric': 'worst_class_recall', 'value': 0.4583333333333333, 'direction': 'higher'}]"
adult__task_359983,359983,adult,271,classification,42,0.1,lightgbm,8000,2000,4885,A6_cosine_negative_control,3,roc_auc,0.8698601973684211,higher,,,,,,,,400,0.1,"[{'metric': 'brier_score', 'value': 0.11886751332419393, 'direction': 'lower'}, {'metric': 'expected_calibration_error', 'value': 0.06272797160894958, 'direction': 'lower'}, {'metric': 'f1_macro', 'value': 0.7503739437945142, 'direction': 'higher'}, {'metric': 'worst_class_recall', 'value': 0.4895833333333333, 'direction': 'higher'}]"
adult__task_359983,359983,adult,271,classification,42,0.1,lightgbm,8000,2000,4885,A2_median_scaled_euclidean,4,roc_auc,0.8430989583333335,higher,,,,,,,,400,0.25,"[{'metric': 'brier_score', 'value': 0.14513259280541177, 'direction': 'lower'}, {'metric': 'expected_calibration_error', 'value': 0.11440806607343015, 'direction': 'lower'}, {'metric': 'f1_macro', 'value': 0.6775477300788784, 'direction': 'higher'}, {'metric': 'worst_class_recall', 'value': 0.375, 'direction': 'higher'}]"
